title,location,bedrooms,bathrooms,garage,price,size,listing_type,source,price_per_sqm,total_rooms,size_category,prop_apartment,prop_house,prop_other,property_type
"Sifah Farm 2+1 Bed for sale, Jebel Sifah | شاليه للبيع في جبل سيفة","Al Sifah, Muscat•",2.0,3.0,2.0,190000.0,91.97397,For Sale,dubizzle,2065.8018785097565,5.0,Tiny,False,False,True,other
فيلا غرفتين للبيع في هوانا صلالة | Villa 2BHK in Hawana Salalah,"Salalah, Dhofar•",2.0,2.0,2.0,165000.0,12.170293,For Sale,dubizzle,13557.602927061822,4.0,Tiny,False,True,False,house
2Bedroom Duplex Villa For Sale – Hawana Salalah,"Salalah, Dhofar•",2.0,2.0,2.0,135000.0,11.519972,For Sale,dubizzle,11718.778483142147,4.0,Tiny,False,True,False,house
Furnished 4-Bedroom Twin-Storey Villa for Sale in Jebel Sifah,"Al Sifah, Muscat•",4.0,4.0,2.0,292075.0,31.958632,For Sale,dubizzle,9139.158397017743,8.0,Tiny,False,True,False,house
Fully Furnished 2-Bedroom Villa for Sale in Hawana salalah,"Salalah, Dhofar•",2.0,2.0,2.0,160000.0,12.170293,For Sale,dubizzle,13146.766474726615,4.0,Tiny,False,True,False,house
Townhouse for sale in Sultan Haitham تاون هاوس للبيع في مدينة السلطان,"Sultan Haitham City, Muscat•",3.0,3.0,2.0,111700.0,18.023182,For Sale,dubizzle,6197.573769160185,6.0,Tiny,False,True,False,house
2 Bedrooms Sea View Villa Jebel Sifah | فيلا غرفتين على البحر جبل سيفة,"Al Sifah, Muscat•",2.0,2.0,2.0,265000.0,11.984487,For Sale,dubizzle,22111.918515994887,4.0,Tiny,False,True,False,house
Courtyard Villa for Sale -  فيلا للبيع,"Yiti, Muscat•",3.0,5.0,2.0,238000.0,23.411556,For Sale,dubizzle,10165.91977056117,8.0,Tiny,False,True,False,house
Apartment for sale with 3 bedrooms- شقة للبيع بثلاث غرف,"Yiti, Muscat•",3.0,4.0,2.0,220000.0,15.236092,For Sale,dubizzle,14439.398239391046,7.0,Tiny,True,False,False,apartment
Apartment for sale with 2-Bedrooms شقة للبيع بغرفتين,"Yiti, Muscat•",2.0,3.0,2.0,132000.0,11.334166,For Sale,dubizzle,11646.203170131796,5.0,Tiny,True,False,False,apartment
