Title,Location,Bedrooms,Bathrooms,Garage,Price,Size,Listing_Type
Villa for sale in Hail north فيلا للبيع في الحيل الشماليه,"Al Hail, Muscat•",6,4,Not specified,"OMR 110,000Negotiable",623 SQM,For Sale
توين فيلا جميلة للبيع في المسفاة,"Misfah, Muscat•",5,7,Not specified,"OMR 90,000Negotiable",312 SQM,For Sale
BRAND NEW 2 BHK PENTHOUSE FOR SALE !!,"Ghala, Muscat•",2,3,Not specified,"OMR 55,000Non Freehold",103 SQM,For Sale
(freehold) 1bhk for sale in muscat hails,"Muscat Hills, Muscat•",1,2,Not specified,"OMR 66,000Freehold",74 SQM,For Sale
للبيع ارض سكني تجاري بركاء (خرائط بناء مخزن معتمده),"Barka, Al Batinah•",Not specified,Not specified,Not specified,"OMR 28,000",300 SQM,For Sale
للبيع بناية في دارسيت مؤجره بالكامل,"Darsait, Muscat•",Not specified,Not specified,Not specified,"OMR 185,000Non Freehold",586 SQM,For Sale
شقق راقية للبيع في ولاية العامرات (بناية الميرا),"Al Amarat, Muscat•",2,2,Not specified,"OMR 28,000Non Freehold",95 SQM,For Sale
للبيع ارض في المنى اول خط من الشارع الرئيسي جنب مسجد عبدالملك,"Bosher, Muscat•",Not specified,Not specified,Not specified,"OMR 115,000",415 SQM,For Sale
Buying a villa with 10% down payment for 4 bedrooms,"Yiti, Muscat•",4,6,Not specified,"OMR 277,000Freehold",285 SQM,For Sale
Modern Apartment for Sale in Muscat | شقة حديثة للبيع في مسقط,"Yiti, Muscat•",2,3,Not specified,"OMR 127,900Freehold",120 SQM,For Sale
Amazing 1 BHK Apartment in Uptown |شقة غرفة وصالة في أب تاون ّFreeHold,"Al Khoud, Muscat•",1,2,Not specified,"OMR 59,016Freehold",83 SQM,For Sale
Exclusive 2 BHK Marina View | شقة راقية في يتي - Sustainable City Yiti,"Yiti, Muscat•",2,3,Not specified,"OMR 166,570Freehold",121 SQM,For Sale
1 BHK FreeHold Appartment uptow 15% down payment 44 Month Installment,"Al Seeb, Muscat•",1,1,Not specified,"OMR 72,223Freehold",102 SQM,For Sale
شقة دوبلكس جديدة كليًا في العذيبة – موقع مميز  FSA83,"Azaiba, Muscat•",2,3,Not specified,"OMR 58,000Non Freehold",103 SQM,For Sale
Villa for Sale in Muscat- فيلا للبيع في مسقط,"Yiti, Muscat•",4,5,Not specified,"OMR 474,000Negotiable",500.85 SQM,For Sale
Golf View | Pool View 1 BHK Aida Greate Escape2 | 40 Month Installment,"Yiti, Muscat•",1,2,Not specified,"OMR 89,898Freehold",56 SQM,For Sale
BOOK NOW Apartments in (SULTAN HAITHAM CITY) with 5 Years Payment Plan,"Al Maabilah, Muscat•",1,1,Not specified,"OMR 53,922Freehold",67 SQM,For Sale
فيلا للبيع، مدينة السلطان هيثم Villa in Sultan Haitham City,"Al Seeb, Muscat•",5,5,Not specified,"OMR 227,100Freehold",412 SQM,For Sale
Sea View 1BHK Appartment FreeHold Installmentشقة بغرفة نوم واحدة للبيع,"Yiti, Muscat•",1,2,Not specified,"OMR 105,647Freehold",78 SQM,For Sale
Own Your Shop with Residential Visa in installments over 8 years,"Muscat Hills, Muscat•",Not specified,Not specified,Not specified,"OMR 39,750Freehold",15 SQM,For Sale
تملك محلك ف أول مول ف مسقط هيلز وبالاقساط علي 100 شهر بدون فوائد,"Muscat Hills, Muscat•",Not specified,Not specified,Not specified,"OMR 39,750Freehold",15 SQM,For Sale
فيلا للبيع في الوادي الكبير مع الأثاث,"Al Wadi Al Kabir, Muscat•",9,6,Not specified,"OMR 165,000Negotiable",601 SQM,For Sale
محلات للبيع في الخوض مكان جميل جدا و ممتاز,"Al Khoud, Muscat•",Not specified,Not specified,Not specified,"OMR 40,000Non Freehold",26 SQM,For Sale
فيلا للبيع في موقع مميز في المعبيله,"Al Maabilah, Muscat•",3,5,Not specified,"OMR 79,000Non Freehold",600 SQM,For Sale
Twin villa in Athiba for sale / توين فيلا للبيع في العذيبه,"Azaiba, Muscat•",7,6,Not specified,"OMR 168,000Non Freehold",700 SQM,For Sale
Villa for sale in Hail north فيلا للبيع في الحيل الشماليه,"Al Hail, Muscat•",6,4,Not specified,"OMR 110,000Negotiable",623 SQM,For Sale
توين فيلا جميلة للبيع في المسفاة,"Misfah, Muscat•",5,7,Not specified,"OMR 90,000Negotiable",312 SQM,For Sale
BRAND NEW 2 BHK PENTHOUSE FOR SALE !!,"Ghala, Muscat•",2,3,Not specified,"OMR 55,000Non Freehold",103 SQM,For Sale
(freehold) 1bhk for sale in muscat hails,"Muscat Hills, Muscat•",1,2,Not specified,"OMR 66,000Freehold",74 SQM,For Sale
للبيع ارض سكني تجاري بركاء (خرائط بناء مخزن معتمده),"Barka, Al Batinah•",Not specified,Not specified,Not specified,"OMR 28,000",300 SQM,For Sale
للبيع بناية في دارسيت مؤجره بالكامل,"Darsait, Muscat•",Not specified,Not specified,Not specified,"OMR 185,000Non Freehold",586 SQM,For Sale
شقق راقية للبيع في ولاية العامرات (بناية الميرا),"Al Amarat, Muscat•",2,2,Not specified,"OMR 28,000Non Freehold",95 SQM,For Sale
للبيع ارض في المنى اول خط من الشارع الرئيسي جنب مسجد عبدالملك,"Bosher, Muscat•",Not specified,Not specified,Not specified,"OMR 115,000",415 SQM,For Sale
Buying a villa with 10% down payment for 4 bedrooms,"Yiti, Muscat•",4,6,Not specified,"OMR 277,000Freehold",285 SQM,For Sale
FREE HOLD!! Own your Town House at Wadi Zaha in Sultan Haitham City,"Sultan Haitham City, Muscat•",3,5,Not specified,"OMR 176,000Freehold",220 SQM,For Sale
Fully Furnished 2BHK Apartment For Sale in Lagoon – Al Mouj FSA56,"The Wave (Almouj), Muscat•",2,2,Not specified,"OMR 137,000Freehold",126 SQM,For Sale
Free Hold!! 95 sqm 1-Bedroom apartment for sale in Muscat Hills FSA45,"Muscat Hills, Muscat•",1,2,Not specified,"OMR 63,000Freehold",95 SQM,For Sale
FREE HOLD!! Own a Studio at Yenaier in Sultan Haitham City,"Sultan Haitham City, Muscat•",Studio,1,Not specified,"OMR 46,627Freehold",75 SQM,For Sale
Amazing 2BHK Corner Flat For Sale  in Muscat Hills FSA12,"Muscat Hills, Muscat•",2,3,Not specified,"OMR 76,000Freehold",118 SQM,For Sale
Free Hold!! Own Your Fully Managed Holiday Home in AIDA,"Yiti, Muscat•",3,3,Not specified,"OMR 260,000Freehold",125 SQM,For Sale
FREE HOLD!! Book your 2BHK apartment now in Wadi Zaha - SHC,"Sultan Haitham City, Muscat•",2,3,Not specified,"OMR 70,000Freehold",110 SQM,For Sale
"1BHK Apartment FOR SALE in The BLV Tower, Muscat Hills","Muscat Hills, Muscat•",1,1,Not specified,"OMR 63,800Freehold",100 SQM,For Sale
Reduced Price!!! 2BHK Apartment with Pool View in Muscat Hills FSA43,"Muscat Hills, Muscat•",2,2,Not specified,"OMR 70,000Freehold",100 SQM,For Sale
شقة للبيع في بناية شمس بوشر-Apartment for Sale (Shams Bousher Building,"Bosher, Muscat•",2,2,Not specified,"OMR 52,000Non Freehold",112.28 SQM,For Sale
"For Sale – One-Bedroom Apartment in Marsa Garden, Al Mouj Muscat","The Wave (Almouj), Muscat•",1,1,Not specified,"OMR 110,000Freehold",95 SQM,For Sale
"تملك على البحر من 83,000 ريال (تملك حر) Own by the Beach","The Wave (Almouj), Muscat•",1,1,Not specified,"OMR 83,000Freehold",70 SQM,For Sale
For Sale: Prime Land in Ghala,"Ghala, Muscat•",Not specified,Not specified,Not specified,"OMR 3,000,000","16,300 SQM",For Sale
Distress Sale Freehold 1 BHK with Residence Visa in Duqum for Just 22K,"Al Duqum, Al Wusta•",1,2,Not specified,"OMR 24,000Freehold",40 SQM,For Sale
توين فيلا للبيع في حي الكوثر الخوض,"Al Khoud, Muscat•",6,7,Not specified,"OMR 118,000Non Freehold",300 SQM,For Sale
منزل للبيع في المعبيلة الجنوبية حي العز,"Al Maabilah, Muscat•",4,4,Not specified,"OMR 68,000Non Freehold",226 SQM,For Sale
Amazing 2+1BHK FOR SALE in AL Mouj – Luban FSA24,"The Wave (Almouj), Muscat•",2,2,Not specified,"OMR 120,000Freehold",127 SQM,For Sale
Twin Villa for Sale Soor Al Hadid,"Al Seeb, Muscat•",5,7,Not specified,"OMR 87,000Freehold",378 SQM,For Sale
Rare Opportunity – Marina View Apartment in Al Mouj at a Great Price,"The Wave (Almouj), Muscat•",2,2,Not specified,"OMR 230,000Freehold",157 SQM,For Sale
شقة مؤثثة بالكامل للبيع بتصميم عصري VIP في المعبيلة 5 / 1 خلف عرب سويت,"Al Maabilah, Muscat•",2,2,Not specified,"OMR 30,000Non Freehold",101 SQM,For Sale
شقة مؤثثة جزئيًا للبيع في المعبيلة قريب المدرسة الهندية على شارع النور,"Al Maabilah, Muscat•",3,3,Not specified,"OMR 36,500Non Freehold",126 SQM,For Sale
منزل للبيع في المعبيلة الصناعية في حي العز خلف جامع السلطان تيمور,"Al Maabilah, Muscat•",2,3,Not specified,"OMR 55,000Non Freehold",531 SQM,For Sale
شقة سكنية للبيع ف المعبيلة حي الرحبة قريب مدرسة منار الحكمة,"Al Maabilah, Muscat•",3,3,Not specified,"OMR 25,500Non Freehold",101 SQM,For Sale
منزل مستقل للبيع في المعبيلة مقابل جامع السلطان تيمور بن فيصل,"Al Maabilah, Muscat•",3,4,Not specified,"OMR 66,000Non Freehold",509 SQM,For Sale
فيلا بجودة بناء عالية للبيع في مرتفعات الأنصب,"Ansab, Muscat•",4,6,Not specified,"OMR 205,000Non Freehold",405 SQM,For Sale
Last Chance| Courtyard Villa at The Sustainable City–Yiti | فيلا للبيع,"Yiti, Muscat•",3,5,Not specified,"OMR 236,000Freehold",252 SQM,For Sale
شقة للبيع في مرتفعات المطار غلا – بسعر لا يفوت ابتداء من 26 ألف ريال,"Ghala, Muscat•",1,2,Not specified,"OMR 26,000Non Freehold",60 SQM,For Sale
Villa fo sale with 3 bedrooms- فيلا للبيع بثلاث غرف نوم,"Yiti, Muscat•",3,4,Not specified,"OMR 238,000Negotiable",237.54 SQM,For Sale
Apartment in Muscat for Sale- شقة في مسقط للبيع,"Yiti, Muscat•",2,3,Not specified,"OMR 128,000Negotiable",120 SQM,For Sale
