Title,Location,Bedrooms,Bathrooms,Garage,Price,Size,Listing_Type
المضيبي مخطط المضيبي 19,"Al Mudaibi, Al Sharqiya•",Not specified,Not specified,Not specified,"OMR 2,500",600 SQM,For Sale
المصنعه النهضه جنوب,"Barka, Al Batinah•",Not specified,Not specified,Not specified,"OMR 2,650",611 SQM,For Sale
المصنعه النهضه جنوب المرحله الثانيه,"Al Masn'a, Al Batinah•",Not specified,Not specified,Not specified,"OMR 2,750",600 SQM,For Sale
المصنعه النهضه جنوب المرحله الثانيه,"Al Masn'a, Al Batinah•",Not specified,Not specified,Not specified,"OMR 2,750",613 SQM,For Sale
العامرات مدينه النهضه,"Al Amarat, Muscat•",Not specified,Not specified,Not specified,"OMR 11,000",600 SQM,For Sale
ولاية المضيبي,"Al Mudaibi, Al Sharqiya•",Not specified,Not specified,Not specified,"OMR 2,400",780 SQM,For Sale
العامرات مربع14/2,"Al Amarat, Muscat•",Not specified,Not specified,Not specified,"OMR 7,300",600 SQM,For Sale
العامرات جحلوت,"Al Amarat, Muscat•",Not specified,Not specified,Not specified,"OMR 3,500",600 SQM,For Sale
land for sell,"Ibra, Al Sharqiya•",Not specified,Not specified,Not specified,"OMR 8,500",668 SQM,For Sale
محوت الجوبه الارض فرصه قريب من الدوار والمحلات التجاريه,"Mahut, Al Wusta•",Not specified,Not specified,Not specified,"OMR 1,750",600 SQM,For Sale
ارض سكنية في المعبيله العاشرة للبيع,"Al Maabilah, Muscat•",Not specified,Not specified,Not specified,"OMR 50,000",600 SQM,For Sale
ارض سكنية في المعبيلة للبيع,"Al Maabilah, Muscat•",Not specified,Not specified,Not specified,"OMR 50,000",600 SQM,For Sale
للبيع ارض سكني تجاري في المعبيله,"Al Maabilah, Muscat•",Not specified,Not specified,Not specified,"OMR 150,000",750 SQM,For Sale
land for sell,"Al Mudaibi, Al Sharqiya•",Not specified,Not specified,Not specified,"OMR 2,800","3,000 SQM",For Sale
للبيع ارض سكنية في مدينة النهضة,"Al Amarat, Muscat•",Not specified,Not specified,Not specified,"OMR 35,000",600 SQM,For Sale
ارض سكنية في العامرات الثانيه,"Al Amarat, Muscat•",Not specified,Not specified,Not specified,"OMR 33,500",500 SQM,For Sale
للبيع ارض سكنية في العامرات التاسعة,"Al Amarat, Muscat•",Not specified,Not specified,Not specified,"OMR 43,000",600 SQM,For Sale
land for sell,"Saham, Al Batinah•",Not specified,Not specified,Not specified,"OMR 25,800","4,585 SQM",For Sale
land for sell,"Bosher, Muscat•",Not specified,Not specified,Not specified,"OMR 32,000",300 SQM,For Sale
villa for sell,"Al Maabilah, Muscat•",5,5,Not specified,"OMR 72,000Non Freehold",401 SQM,For Sale
villa for sell,"Al Khaboura, Al Batinah•",6,6,Not specified,"OMR 48,000Non Freehold",640 SQM,For Sale
شقة للبيع في بوشر شارع الكليات بجانب مستشفى مسقط الخاص,"Bosher, Muscat•",1,2,Not specified,"OMR 31,000Non Freehold",60 SQM,For Sale
barber shop for sell,"Sohar, Al Batinah•",Not specified,Not specified,Not specified,"OMR 5,500Non Freehold",600 SQM,For Sale
land for sell,"Al Masn'a, Al Batinah•",Not specified,Not specified,Not specified,"OMR 32,000","2,969 SQM",For Sale
land for sell,"Al Masn'a, Al Batinah•",Not specified,Not specified,Not specified,"OMR 8,500",617 SQM,For Sale
land for sell,"Manah, Al Dakhiliya•",Not specified,Not specified,Not specified,"OMR 110,000","6,900 SQM",For Sale
flat for sell,"Al Hail, Muscat•",2,3,Not specified,"OMR 26,000Non Freehold",78 SQM,For Sale
land for sell,"Barka, Al Batinah•",Not specified,Not specified,Not specified,"OMR 43,000","1,200 SQM",For Sale
villa for sell,"Barka, Al Batinah•",4,6,Not specified,"OMR 51,800Non Freehold",300 SQM,For Sale
ارض سكنية للبيع في المعبيلة الجنوبية,"Al Maabilah, Muscat•",Not specified,Not specified,Not specified,"OMR 68,000",707 SQM,For Sale
للبيع ارض سكنية في العامرات,"Al Amarat, Muscat•",Not specified,Not specified,Not specified,"OMR 33,500",500 SQM,For Sale
للبيع ارضين شبك سكني تجاري في بركاء البلة,"Barka, Al Batinah•",Not specified,Not specified,Not specified,"OMR 132,000",750 SQM,For Sale
إعلان أراضي المسفاة,"Misfah, Muscat•",Not specified,Not specified,Not specified,"OMR 44,000",600 SQM,For Sale
للبيع ارض سكنية في الانصب,"Ansab, Muscat•",Not specified,Not specified,Not specified,"OMR 73,000",300 SQM,For Sale
للبيع ارض سكنية في المعبيلة الجنوبية,"Al Maabilah, Muscat•",Not specified,Not specified,Not specified,"OMR 60,000",640 SQM,For Sale
للبيع ارض سكنية في بوشر,"Bosher, Muscat•",Not specified,Not specified,Not specified,"OMR 320,000","1,000 SQM",For Sale
ارض سكنية للبيع في الفليج,"Barka, Al Batinah•",Not specified,Not specified,Not specified,"OMR 32,000",617 SQM,For Sale
للبيع ارض سياحيه في ابو النخيل بركاء,"Barka, Al Batinah•",Not specified,Not specified,Not specified,"OMR 160,000","2,000 SQM",For Sale
للبيع ارض سكني تجاري في الغبرة,"Al Ghubrah, Muscat•",Not specified,Not specified,Not specified,"OMR 210,000",551 SQM,For Sale
ارض سكنية للبيع في العامرات,"Al Amarat, Muscat•",Not specified,Not specified,Not specified,"OMR 42,000",600 SQM,For Sale
ارض سكنية للبيع في العوابي,"Al 'Awabi, Al Batinah•",Not specified,Not specified,Not specified,"OMR 55,000",600 SQM,For Sale
للبيع ارض سكنية في العامرات,"Al Amarat, Muscat•",Not specified,Not specified,Not specified,"OMR 18,500",600 SQM,For Sale
* بركاء - الفليج المعمورة,"Barka, Al Batinah•",Not specified,Not specified,Not specified,"OMR 13,500",663 SQM,For Sale
جزء من توين فله للبيع بركاء | الفليج,"Barka, Al Batinah•",5,7,Not specified,"OMR 65,000Non Freehold",297 SQM,For Sale
للبيع شقق في ولاية بوشر,"Bosher, Muscat•",3,3,Not specified,"OMR 48,000Non Freehold",125 SQM,For Sale
شقق للبيع في السيب,"Al Khoud, Muscat•",2,4,Not specified,"OMR 41,000Non Freehold",113 SQM,For Sale
للبيع ارض سكنية في العامرات الثامنة,"Al Amarat, Muscat•",Not specified,Not specified,Not specified,"OMR 42,000",600 SQM,For Sale
land for sell,"Ibri, Al Dhahirah•",Not specified,Not specified,Not specified,"OMR 25,200Negotiable",603 SQM,For Sale
land for sell,"Yiti, Muscat•",Not specified,Not specified,Not specified,"OMR 15,000",600 SQM,For Sale
shop for sell,"Al Masn'a, Al Batinah•",Not specified,Not specified,Not specified,"OMR 5,000Negotiable",20 SQM,For Sale
land for sell,"Sohar, Al Batinah•",Not specified,Not specified,Not specified,"OMR 23,000",600 SQM,For Sale
land for sell,"Al Rustaq, Al Batinah•",Not specified,Not specified,Not specified,"OMR 10,900",611 SQM,For Sale
للبيع ارض سكنية في العامرات / مرتفعات 8/1,"Al Amarat, Muscat•",Not specified,Not specified,Not specified,"OMR 25,000",330 SQM,For Sale
للبيع أرض سكني تجاري في ولاية العامرات / عدن,"Al Amarat, Muscat•",Not specified,Not specified,Not specified,"OMR 29,000",400 SQM,For Sale
العامرات- مدينة النهضة مربع 18 ثاني قطعة من الشارع الرئيسي لمربع 18,"Al Amarat, Muscat•",Not specified,Not specified,Not specified,"OMR 12,000",600 SQM,For Sale
العامرات مدينة النهضة مربع 14/1 من ارخص الاراضي قريبه من البيوت والخدم,"Al Amarat, Muscat•",Not specified,Not specified,Not specified,"OMR 8,700",600 SQM,For Sale
السويق البارده من ارخص الأراضي عرضا في السوق,"Suwaiq, Al Batinah•",Not specified,Not specified,Not specified,"OMR 2,000",600 SQM,For Sale
العامرات الحشيه الارض فرصه رابع خط من الشارع القاروقريب من منازل جاهزة,"Al Amarat, Muscat•",Not specified,Not specified,Not specified,"OMR 6,600",600 SQM,For Sale
land for sell,"Barka, Al Batinah•",Not specified,Not specified,Not specified,"OMR 13,800Negotiable",622 SQM,For Sale
ارض للبيع في نزوى خلف جامعة العلوم التطبيقية,"Nizwa, Al Dakhiliya•",Not specified,Not specified,Not specified,"OMR 28,000",900 SQM,For Sale
العامرات مربع17 اول خط من الشارع القارالرئيسي وقريب من منازل جاهزه,"Al Amarat, Muscat•",Not specified,Not specified,Not specified,"OMR 12,500",600 SQM,For Sale
العامرات الامتداد الأول,"Al Amarat, Muscat•",Not specified,Not specified,Not specified,"OMR 9,200",600 SQM,For Sale
العامرات مربع17 الارض قريب من النفق الجديد و مخطط العهد,"Al Amarat, Muscat•",Not specified,Not specified,Not specified,"OMR 10,000",600 SQM,For Sale
العامرات الامتداد الأول الارض ممتازه جدا قريب من الشارع القار,"Al Amarat, Muscat•",Not specified,Not specified,Not specified,"OMR 7,900",600 SQM,For Sale
العامرات جحلوت سابقا الارض ملاصقه لمنزل جاهز,"Al Amarat, Muscat•",Not specified,Not specified,Not specified,"OMR 4,200",600 SQM,For Sale
بركاء الفليج المعمورة الارض فرصة قريب من بيوت الشعبيه والمسجد,"Barka, Al Batinah•",Not specified,Not specified,Not specified,"OMR 16,200",630 SQM,For Sale
العامرات جحلوت سابقا بعي حاليا,"Al Amarat, Muscat•",Not specified,Not specified,Not specified,"OMR 4,200",660 SQM,For Sale
للبيع ارض سكنية في العامرات / مرتفعات 8/1,"Al Amarat, Muscat•",Not specified,Not specified,Not specified,"OMR 25,000",330 SQM,For Sale
land for sell,"Al Amarat, Muscat•",Not specified,Not specified,Not specified,"OMR 12,000Negotiable",600 SQM,For Sale
ارضين شبك المصنعه النهضه جنوب المرحله الثالثه,"Al Masn'a, Al Batinah•",Not specified,Not specified,Not specified,"OMR 6,900","1,222 SQM",For Sale
المصنعه النهضه جنوب المرحله الثانيه موقع ممتازمستوي قريب شارع خط الغاز,"Al Masn'a, Al Batinah•",Not specified,Not specified,Not specified,"OMR 2,700",618 SQM,For Sale
المصنعه الملده لارض اول خط من الشارع القارالمؤدي الي منتجع بارسيلوا,"Al Masn'a, Al Batinah•",Not specified,Not specified,Not specified,"OMR 9,700",630 SQM,For Sale
العامرات الحشيه الثانيه الارض ثالث خط من الشارع المزمع إقامته مزدوج,"Al Amarat, Muscat•",Not specified,Not specified,Not specified,"OMR 4,000",642 SQM,For Sale
بركاء - الفليج المعمورة,"Barka, Al Batinah•",Not specified,Not specified,Not specified,"OMR 11,800",690 SQM,For Sale
العامرات الحشيه الثانيه فرصه من ذهب موقع رهيب وقريب منازل قائمه,"Al Amarat, Muscat•",Not specified,Not specified,Not specified,"OMR 4,300",620 SQM,For Sale
العامرات جحلوت الأولى كل الخدمات متوفره سارع بالحجز,"Al Amarat, Muscat•",Not specified,Not specified,Not specified,"OMR 5,900",612 SQM,For Sale
العامرات- سمكت فرصة لامتلاك ارض في سمكت بمساحة نادرة 1000 متر,"Al Amarat, Muscat•",Not specified,Not specified,Not specified,"OMR 6,200","1,000 SQM",For Sale
villa for sell,"Al Amarat, Muscat•",3,3,Not specified,"OMR 53,000Non Freehold",600 SQM,For Sale
land for sell,"Al Seeb, Muscat•",Not specified,Not specified,Not specified,"OMR 54,000",600 SQM,For Sale
shop for sell,"Al Amarat, Muscat•",Not specified,Not specified,Not specified,"OMR 8,000Non Freehold",100 SQM,For Sale
ارض سكنية للبيع في بركاء,"Barka, Al Batinah•",Not specified,Not specified,Not specified,"OMR 13,500",605 SQM,For Sale
sell land,"Izki, Al Dakhiliya•",Not specified,Not specified,Not specified,"OMR 9,000",602 SQM,For Sale
"Staircase, Broadband Internet, Elevator, Garden, Garage Parking","Bosher, Muscat•",4,6,Not specified,"OMR 244,000Non Freehold",601 SQM,For Sale
10 shop for sell,"Al Amarat, Muscat•",Not specified,Not specified,Not specified,"OMR 145,000Non Freehold",420 SQM,For Sale
فيلا جاهزة طابق ارضي في صحم (المرفع مربع 308),"Saham, Al Batinah•",Not specified,Not specified,Not specified,"OMR 36,000",214 SQM,For Sale
"Gym, Dry Clean, School, Hospital, Bank / ATM, Mosque, Supermarket, Res","Ibra, Al Sharqiya•",Not specified,Not specified,Not specified,"OMR 69,000","1,250 SQM",For Sale
VILLA FOR SALE فيلا للبيع,"Al Maabilah, Muscat•",5,5,Not specified,"OMR 72,000Non Freehold",401 SQM,For Sale
للبيع ارض في بركاء الفليج,"Barka, Al Batinah•",Not specified,Not specified,Not specified,"OMR 13,500",663 SQM,For Sale
للبيع محل تجاري في الأنصب موقع مميز منطقة تجارية حيوية,"Ansab, Muscat•",Not specified,Not specified,Not specified,"OMR 50,000Non Freehold",33 SQM,For Sale
للبيع ارض في العامرات التاسعه,"Al Amarat, Muscat•",Not specified,Not specified,Not specified,"OMR 36,000",600 SQM,For Sale
فيلا للبيع من اصل توين فيلا في العامرات الثامنة,"Al Amarat, Muscat•",3,5,Not specified,"OMR 68,000Non Freehold",300 SQM,For Sale
للبيع ارض في العامرات 11,"Al Amarat, Muscat•",Not specified,Not specified,Not specified,"OMR 15,000",600 SQM,For Sale
فيلا راقية للبيع في العامرات مرتفعات الثانية,"Al Amarat, Muscat•",6,7,Not specified,"OMR 199,000Non Freehold",600 SQM,For Sale
مخطط الساحل ارض للبيع في قريات,"Qurayyat, Muscat•",Not specified,Not specified,Not specified,"OMR 10,500",657 SQM,For Sale
أرض زراعية في ازكي للبيع,"Izki, Al Dakhiliya•",Not specified,Not specified,Not specified,"OMR 8,200Negotiable","1,407 SQM",For Sale
منزل للبيع في العامرات الثالثة,"Al Amarat, Muscat•",6,7,Not specified,"OMR 47,000Non Freehold",300 SQM,For Sale
شقتين للبيع في العامرات الخامسة,"Al Amarat, Muscat•",2,3,Not specified,"OMR 60,000Non Freehold",120 SQM,For Sale
فيلا للبيع من أصلً توين في العامرات الخامسة,"Al Amarat, Muscat•",6,7,Not specified,"OMR 63,000Non Freehold",300 SQM,For Sale
فيلا للبيع في المعبيلة الجنوبية,"Al Maabilah, Muscat•",5,4,Not specified,"OMR 150,000Non Freehold",638 SQM,For Sale
للبيع بيت عربي صغير في العامرات,"Al Amarat, Muscat•",2,4,Not specified,"OMR 45,000Non Freehold",262 SQM,For Sale
فيلا للبيع او للإيجار السابعه العامرات,"Al Amarat, Muscat•",3,3,Not specified,"OMR 60,000Non Freehold",300 SQM,For Sale
للبيع بيت مستقل في مدينة النهضه,"Al Amarat, Muscat•",5,5,Not specified,"OMR 58,000Non Freehold",600 SQM,For Sale
للبيع ارض في المعبيلة الثامنه قريب جامع بدر الدين الخليلي,"Al Maabilah, Muscat•",Not specified,Not specified,Not specified,"OMR 46,000",600 SQM,For Sale
ارض للبيع في المعبيلة,"Al Maabilah, Muscat•",Not specified,Not specified,Not specified,"OMR 43,000",600 SQM,For Sale
ارض للبيع في المعبيلة الثامنه,"Al Maabilah, Muscat•",Not specified,Not specified,Not specified,"OMR 54,000",630 SQM,For Sale
للبيع ارض صناعية في نزوى,"Nizwa, Al Dakhiliya•",Not specified,Not specified,Not specified,"OMR 35,000","1,103 SQM",For Sale
ارض سكنية للبيع العامرات مدينة النهضه,"Al Amarat, Muscat•",Not specified,Not specified,Not specified,"OMR 18,800",600 SQM,For Sale
ارض سكنية للبيع في العامرات مدينة النهضه,"Al Amarat, Muscat•",Not specified,Not specified,Not specified,"OMR 16,500",603 SQM,For Sale
ارض سكنية في العامرات المنظرية للبيع,"Al Amarat, Muscat•",Not specified,Not specified,Not specified,"OMR 4,000",600 SQM,For Sale
ارض سكنية في العامرات سمكت,"Al Amarat, Muscat•",Not specified,Not specified,Not specified,"OMR 4,000",700 SQM,For Sale
ارض سكنية للبيع في العامرات الحاجر,"Al Amarat, Muscat•",Not specified,Not specified,Not specified,"OMR 4,000",600 SQM,For Sale
ارض سكني للبيع في العامرات مدينة النهضه,"Al Amarat, Muscat•",Not specified,Not specified,Not specified,"OMR 8,500",600 SQM,For Sale
ارض سكنية للبيع في عبري,"Ibri, Al Dhahirah•",Not specified,Not specified,Not specified,"OMR 3,899",767 SQM,For Sale
للبيع فندق براند عالمي (بارك سايد بلازا),"Ghala, Muscat•",Not specified,Not specified,Not specified,"OMR 10,000,000Non Freehold",800 SQM,For Sale
للبيع ارض في ازكي,"Izki, Al Dakhiliya•",Not specified,Not specified,Not specified,"OMR 4,000",645 SQM,For Sale
للبيع ارض سكنية في العامرات مدينة النهضه,"Al Amarat, Muscat•",Not specified,Not specified,Not specified,"OMR 12,000",600 SQM,For Sale
المصنعه برج الـ خميس الارض قريبه الشارع القارومقابل استراحه الراجحي,"Al Masn'a, Al Batinah•",Not specified,Not specified,Not specified,"OMR 3,600",600 SQM,For Sale
فرصة ذهبية للمستثمرين والراغبين في البناء للبيع ارض سكنية في العامرات,"Al Amarat, Muscat•",Not specified,Not specified,Not specified,"OMR 15,000",600 SQM,For Sale
ارضين شبك زراعيه في بركاء مخطط البله فرصه لإقامة استراحه عائليه,"Barka, Al Batinah•",Not specified,Not specified,Not specified,"OMR 16,500","1,222 SQM",For Sale
"Heating, Central Air Conditioning, Air Conditioning, Double Glazed Win","Nizwa, Al Dakhiliya•",6,6,Not specified,"OMR 55,000Non Freehold",670 SQM,For Sale
المصنعه الملده الثامنه موقع ممتازخلف مركزشرطة المصنعه,"Al Masn'a, Al Batinah•",Not specified,Not specified,Not specified,"OMR 4,200",616 SQM,For Sale
للبيع ارض سكنية في العامرات مدينة النهضه,"Al Amarat, Muscat•",Not specified,Not specified,Not specified,"OMR 18,500",600 SQM,For Sale
للبيع ارض سكني في العامرات,"Al Amarat, Muscat•",Not specified,Not specified,Not specified,"OMR 17,500",600 SQM,For Sale
العامرات مربع 18,"Al Amarat, Muscat•",Not specified,Not specified,Not specified,"OMR 7,900",600 SQM,For Sale
ولاية بركاء الفليج المعمورة,"Barka, Al Batinah•",Not specified,Not specified,Not specified,"OMR 12,500",690 SQM,For Sale
للبيع ارض سكنية في النهضة العامرات مربع 14,"Al Amarat, Muscat•",Not specified,Not specified,Not specified,"OMR 14,500",600 SQM,For Sale
farm and shops for sell togther,"Al Qabil, Al Sharqiya•",Not specified,Not specified,Not specified,"OMR 58,000Non Freehold","6,050 SQM",For Sale
العامرات- بعي كورنر في وتبعد 250 متر من الشارع القار,"Al Amarat, Muscat•",Not specified,Not specified,Not specified,"OMR 3,650",600 SQM,For Sale
ارض سكنية في العامرات الثانيه,"Al Amarat, Muscat•",Not specified,Not specified,Not specified,"OMR 45,000",613 SQM,For Sale
ولاية بركاء القريحة الثامنة,"Barka, Al Batinah•",Not specified,Not specified,Not specified,"OMR 5,500",600 SQM,For Sale
بركاء القريحه الجديده قريب من عدة استراحات مثل استراحه المزن والفا,"Barka, Al Batinah•",Not specified,Not specified,Not specified,"OMR 6,500",648 SQM,For Sale
ارض سكنية في مدينة النهضه,"Al Amarat, Muscat•",Not specified,Not specified,Not specified,"OMR 46,000",600 SQM,For Sale
"Pharmacy, Supermarket, Bank / ATM, Mall / Shopping Center, Parking, Re","Barka, Al Batinah•",Not specified,Not specified,Not specified,"OMR 11,000",600 SQM,For Sale
ارض سكنية سوبر كورنر في المعبيلة الجنوبية,"Al Maabilah, Muscat•",Not specified,Not specified,Not specified,"OMR 68,000",707 SQM,For Sale
ارض سكني تجاري في المعبيلة الصناعية للبيع,"Al Maabilah, Muscat•",Not specified,Not specified,Not specified,"OMR 150,000",750 SQM,For Sale
العامرات الامتداد الأول,"Al Amarat, Muscat•",Not specified,Not specified,Not specified,"OMR 7,500",600 SQM,For Sale
ارض سكنية في المعبيله الجنوبية سوبر كورنر تنفع لعمل توين فيلا,"Al Maabilah, Muscat•",Not specified,Not specified,Not specified,"OMR 60,000",640 SQM,For Sale
ارض سكنية جميله موقعها مميز في بوشر,"Bosher, Muscat•",Not specified,Not specified,Not specified,"OMR 220,000","1,000 SQM",For Sale
land in barka,"Barka, Al Batinah•",Not specified,Not specified,Not specified,"OMR 25,500",600 SQM,For Sale
ارض سكنية جميله موقعها مميز في الانصب,"Ansab, Muscat•",Not specified,Not specified,Not specified,"OMR 140,000",600 SQM,For Sale
ارض سكنية في فلج الشام,"Ansab, Muscat•",Not specified,Not specified,Not specified,"OMR 90,000",600 SQM,For Sale
big home in massana for sell,"Al Masn'a, Al Batinah•",6,5,Not specified,"OMR 55,000Negotiable","1,027 SQM",For Sale
ارض سكنية في بوشر السادسة,"Bosher, Muscat•",Not specified,Not specified,Not specified,"OMR 90,000",500 SQM,For Sale
ارض سكنية في مرتفعات العامرات للبيع,"Al Amarat, Muscat•",Not specified,Not specified,Not specified,"OMR 33,000",600 SQM,For Sale
ارض للبيع في العامرات الحشية,"Al Amarat, Muscat•",Not specified,Not specified,Not specified,"OMR 7,000",626 SQM,For Sale
"Bus Station, Mosque, School, Gym, Dry Clean, Bank / ATM, Hospital, Pha","Salalah, Dhofar•",Not specified,Not specified,Not specified,"OMR 6,500Non Freehold","2,000 SQM",For Sale
بركاء القريحه السادسه مزرعة الطأووس,"Barka, Al Batinah•",Not specified,Not specified,Not specified,"OMR 4,900",609 SQM,For Sale
العامرات جحلوت الاولى لارض فرصه رابع خط من الشارع القار الرئيسي,"Al Amarat, Muscat•",Not specified,Not specified,Not specified,"OMR 6,500",600 SQM,For Sale
العامرات بعي الارض فرصه مقابل مسجد الفردوس وقريب الشارع العام,"Al Amarat, Muscat•",Not specified,Not specified,Not specified,"OMR 3,500",600 SQM,For Sale
العامرات جحلوت الاولى الارض فرصه ملاصقه لمنزل جاهزوثاني,"Al Amarat, Muscat•",Not specified,Not specified,Not specified,"OMR 5,900",600 SQM,For Sale
العامرات مربع 18,"Al Amarat, Muscat•",Not specified,Not specified,Not specified,"OMR 11,900",600 SQM,For Sale
free land in smail,"Sumail, Al Dakhiliya•",Not specified,Not specified,Not specified,"OMR 22,000Negotiable",600 SQM,For Sale
بركاء الحفري الخامسه الارض فرصه ملاصقه مخطط الدهس وقريب من منازل جاهزة,"Barka, Al Batinah•",Not specified,Not specified,Not specified,"OMR 6,500",605 SQM,For Sale
محوت مخطط حج10,"Mahut, Al Wusta•",Not specified,Not specified,Not specified,"OMR 1,900",600 SQM,For Sale
تجاريه ولاية ثمريت المطهفه,"Thumrait, Dhofar•",Not specified,Not specified,Not specified,"OMR 4,200",400 SQM,For Sale
العامرات الحشيه الثانيه,"Al Amarat, Muscat•",Not specified,Not specified,Not specified,"OMR 5,900",600 SQM,For Sale
شقة للبيع بالحيل الجنوبية,"Al Hail, Muscat•",2,3,Not specified,"OMR 26,000Non Freehold",78 SQM,For Sale
"Jacuzzi, Central Air Conditioning, Balcony, Laundry Room, Installed Ki","Ghala, Muscat•",1,2,Not specified,"OMR 26,000Negotiable",60 SQM,For Sale
استراحة في موقع مميز جدًا للبيع,"Barka, Al Batinah•",2,5,Not specified,"OMR 78,500Non Freehold",150 SQM,For Sale
للبيع ارض في السيفة وفيها بيت قديم قابل الاستفادة والتطوري,"Al Sifah, Muscat•",Not specified,Not specified,Not specified,"OMR 87,000",347 SQM,For Sale
"Parking, Pharmacy, Restaurant","Bidbid, Al Dakhiliya•",Not specified,Not specified,Not specified,"OMR 3,000Non Freehold",25 SQM,For Sale
Whole Building for Sale,"Ruwi, Muscat•",Not specified,Not specified,Not specified,"OMR 900,000Non Freehold",400 SQM,For Sale
"School, Restaurant, Mall / Shopping Center, Pharmacy, Bank / ATM","Al Khuwair, Muscat•",Not specified,Not specified,Not specified,"OMR 12,000Freehold",60 SQM,For Sale
Restaurants & Cafes for Sale,"Yunqul, Al Dhahirah•",Not specified,Not specified,Not specified,"OMR 2,000Non Freehold",80 SQM,For Sale
al hail south,"Al Hail, Muscat•",Not specified,Not specified,Not specified,"OMR 8,000Negotiable",60 SQM,For Sale
"Supermarket, Mosque","Al Buraimi, Al Buraimi•",3,3,Not specified,"OMR 29,500Non Freehold",630 SQM,For Sale
"Central Air Conditioning, Heating","Al Seeb, Muscat•",Not specified,Not specified,Not specified,"OMR 9,500Non Freehold",400 SQM,For Sale
sell shop,"Al Khoud, Muscat•",Not specified,Not specified,Not specified,"OMR 1,000Freehold",10 SQM,For Sale
"Mall / Shopping Center, Mosque, Bus Station, Gym, Bank / ATM, Dry Clea","Salalah, Dhofar•",Not specified,Not specified,Not specified,"OMR 12,000",300 SQM,For Sale
فرصه مميزه للبناء والاستثمار في ولاية ابراء الارض كورنر على شارعين قار,"Ibra, Al Sharqiya•",Not specified,Not specified,Not specified,"OMR 13,500",864 SQM,For Sale
Plastic recycling plant for sale with two small and large plastic crus,"Al Amarat, Muscat•",Not specified,Not specified,Not specified,"OMR 6,000Non Freehold",600 SQM,For Sale
العامرات جحلوت الاولى,"Al Amarat, Muscat•",Not specified,Not specified,Not specified,"OMR 4,700",600 SQM,For Sale
ارض  سكني تجاري للبيع في المعبيله السابعه,"Al Maabilah, Muscat•",Not specified,Not specified,Not specified,"OMR 150,000",500 SQM,For Sale
مطعم و مقهى لبناني كامل التجهيزات في موقع مميز في شارع الخوض شغال بمدخ,"Al Khoud, Muscat•",Not specified,Not specified,Not specified,"OMR 25,000Non Freehold",135 SQM,For Sale
"Hospital, Bus Station, Pharmacy, Mosque, School, Restaurant, Supermark","Nizwa, Al Dakhiliya•",Not specified,Not specified,Not specified,"OMR 70,000",750 SQM,For Sale
"A plot of land in northern Awqad, with an area of 600 square meters. I","Salalah, Dhofar•",Not specified,Not specified,Not specified,"OMR 24,000",600 SQM,For Sale
boushar . muscut,"Bosher, Muscat•",Not specified,Not specified,Not specified,"OMR 240,000",616 SQM,For Sale
محوت مخطط حج 10 الارض فرصه وسط الخدمات وخلف الحديقه العامه,"Mahut, Al Wusta•",Not specified,Not specified,Not specified,"OMR 1,900",600 SQM,For Sale
"Central Air Conditioning, Oven, Refrigerator, Microwave, Installed Ki","Bosher, Muscat•",Not specified,Not specified,Not specified,"OMR 5,000Non Freehold",100 SQM,For Sale
ارضين شبك المصنعه النهضه جنوب المرحله الثانيه,"Al Masn'a, Al Batinah•",Not specified,Not specified,Not specified,"OMR 7,100","1,222 SQM",For Sale
فرصة استثمارية – مزرعة للبيع في النباغ,"Izki, Al Dakhiliya•",2,1,Not specified,"OMR 65,000Non Freehold","13,393 SQM",For Sale
فرصة استثمارية – مزرعة للبيع في النباغ,"Izki, Al Dakhiliya•",2,1,Not specified,"OMR 65,000Non Freehold","13,393 SQM",For Sale
فيلا للبيع في,"Al Amarat, Muscat•",3,5,Not specified,"OMR 50,000Non Freehold",600 SQM,For Sale
اجعل حلمك يتحقق وامتلك ارضك بقرب البحر السيفه عينك على التفاصيل,"Al Sifah, Muscat•",Not specified,Not specified,Not specified,"OMR 26,000",600 SQM,For Sale
فيلا جديده في الحاجر للبيع,"Al Amarat, Muscat•",3,4,Not specified,"OMR 53,000Non Freehold",600 SQM,For Sale
ارض للبيع سكنيه في العامرات المحج,"Al Amarat, Muscat•",Not specified,Not specified,Not specified,"OMR 43,000",558 SQM,For Sale
ارض للبيع في صحم,"Saham, Al Batinah•",Not specified,Not specified,Not specified,"OMR 12,000",602 SQM,For Sale
ارض للبيع في العامرات,"Al Amarat, Muscat•",Not specified,Not specified,Not specified,"OMR 19,500",600 SQM,For Sale
"Installed Kitchen, Electric Shutters, Balcony, Maid Room, Laundry Room","Al Seeb, Muscat•",6,6,Not specified,"OMR 135,000Non Freehold",401 SQM,For Sale
ارضين شبك المصنعه النهضه جنوب المرحله الثانيه,"Al Masn'a, Al Batinah•",Not specified,Not specified,Not specified,"OMR 7,100","1,222 SQM",For Sale
ارضين شبك المصنعه النهضه جنوب المرحله,"Al Masn'a, Al Batinah•",Not specified,Not specified,Not specified,"OMR 7,400","1,236 SQM",For Sale
فيلا للبيع في العامرات,"Al Amarat, Muscat•",5,7,Not specified,"OMR 77,000Non Freehold",355.7 SQM,For Sale
ارضين شبك المصنعه النهضه جنوب المرحله الثانيه,"Al Masn'a, Al Batinah•",Not specified,Not specified,Not specified,"OMR 7,100","1,236 SQM",For Sale
